owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,years_in_business,RATE_ID_FOR_years_in_business,fsr,location,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
606.0,0,150000.0,100.0,4.43,0,79.0,3,0.0,0,0.0,0,0,66.75,0,54014.945,0,1396.4575,0,0.03,0,0.0,0,0.0,0,0.0,0,1.0,0,54014.945,2,606.0,0,150000.0,100.0,4615.0,0
650.0,0,150000.0,100.0,8.67,0,23.0,3,0.0,0,0.0,0,0,30.0,0,37771.0,0,8834.25,0,0.23,0,0.0,0,0.0,0,0.0,0,1.0,0,37771.0,2,650.0,0,150000.0,100.0,1694.0,0
517.0,2,35000.0,100.0,39.36,0,74.0,3,0.0,0,0.0,0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,517.0,2,35000.0,100.0,5998.0,1
539.0,2,35000.0,100.0,4.53,0,6.0,3,0.0,0,0.0,0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,539.0,2,35000.0,100.0,3856.0,0
609.0,0,150000.0,100.0,4.95,0,4.0,1,0.0,0,0.0,0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,609.0,0,150000.0,100.0,4618.0,1
663.0,0,150000.0,100.0,1.68,1,85.0,1,0.0,0,0.0,0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,663.0,0,150000.0,100.0,2858.0,1
683.0,0,150000.0,100.0,11.81,0,89.0,3,0.0,0,0.0,0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,683.0,0,150000.0,100.0,5981.0,2
632.0,0,150000.0,50.0,8.5,0,31.0,1,0.0,0,0.0,0,0,6.75,3,33005.0975,0,6198.4175,0,0.19,0,0.0,0,0.0,0,0.0,0,0.0,0,33005.0975,1,650.0,0,150000.0,100.0,203.0,1
586.0,1,100000.0,100.0,4.11,0,4.0,3,0.0,0,0.0,0,0,5.4,3,112759.8,0,63689.0,0,0.56,0,0.0,0,0.0,0,0.0,0,1.0,0,112759.8,2,586.0,1,100000.0,100.0,324.0,1
549.0,2,35000.0,100.0,4.07,0,18.0,2,0.0,0,0.0,0,0,0.0,2,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,549.0,2,35000.0,100.0,6536.0,0
691.0,0,150000.0,100.0,4.36,0,73.0,3,0.0,0,0.0,0,0,80.0,0,91464.666666667,0,13682.833333333,0,0.15,0,0.0,0,0.0,0,0.0,0,1.0,0,91464.666666667,2,691.0,0,150000.0,100.0,6407.0,1
505.0,2,35000.0,100.0,6.98,0,6.0,3,0.0,0,0.0,0,0,23.75,0,103631.675,0,5852.5125,0,0.06,0,0.0,0,0.0,0,0.0,0,2.0,1,103631.675,2,505.0,2,35000.0,100.0,4468.0,0
544.0,2,35000.0,100.0,1.49,1,6.0,3,0.0,0,0.0,0,1,30.0,0,16709.25,0,980.25,1,0.06,0,0.0,0,0.0,0,0.0,0,2.0,1,16709.25,2,544.0,2,35000.0,100.0,4165.0,0
658.0,0,150000.0,100.0,12.1,0,4.0,1,0.0,0,0.0,0,0,12.666666666667,0,14649.736666667,0,1145.4866666667,0,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,14649.736666667,2,658.0,0,150000.0,100.0,5215.0,1
650.0,0,150000.0,100.0,5.76,0,40.0,3,0.0,0,0.0,0,2,10.125,3,40528.75,0,5029.375,0,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,40528.75,2,650.0,0,150000.0,100.0,3286.0,1
612.0,0,150000.0,100.0,6.02,0,80.0,1,0.0,0,0.0,0,0,23.333333333333,0,67252.676666667,0,12688.333333333,0,0.19,0,0.0,0,0.0,0,0.0,0,2.0,1,67252.676666667,2,612.0,0,150000.0,100.0,569.0,1
600.0,0,150000.0,100.0,11.37,0,75.0,3,0.0,0,0.0,0,1,81.222222222222,0,135836.44444444,0,16430.172222222,0,0.12,0,0.0,0,0.0,0,0.0,0,1.0,0,135836.44444444,2,600.0,0,150000.0,100.0,88.0,1
568.0,1,100000.0,50.0,7.88,0,65.0,3,0.0,0,0.0,0,2,45.0,0,32970.666666667,0,1649.6666666667,0,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,32970.666666667,2,568.0,1,100000.0,50.0,2546.0,2
585.0,1,100000.0,100.0,12.24,0,1.0,3,0.0,0,0.0,0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,585.0,1,100000.0,100.0,3870.0,1
595.0,1,100000.0,100.0,5.7,0,24.0,1,0.0,0,0.0,0,1,38.75,0,14581.0,0,572.7975,1,0.04,0,0.0,0,0.0,0,0.0,0,1.0,0,14581.0,2,595.0,1,100000.0,100.0,1371.0,0
498.0,3,0.0,100.0,26.96,0,54.0,3,0.0,0,0.0,0,0,27.25,0,41224.25,0,9573.08,0,0.23,0,0.0,0,0.0,0,0.0,0,0.0,0,41224.25,2,498.0,3,0.0,100.0,3876.0,2
564.0,1,100000.0,100.0,7.72,0,35.0,3,0.0,0,0.0,0,0,28.666666666667,0,88215.666666667,0,10655.093333333,0,0.12,0,0.0,0,0.0,0,0.0,0,1.0,0,88215.666666667,2,564.0,1,100000.0,100.0,1236.0,2
696.0,0,150000.0,100.0,11.24,0,89.0,1,0.0,0,0.0,0,0,0.0,2,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,696.0,0,150000.0,100.0,8279.0,1
645.0,0,150000.0,50.0,2.51,0,55.0,3,0.0,0,0.0,0,1,45.5,0,104422.75,0,15640.75,0,0.15,0,0.0,0,0.0,0,0.0,0,1.0,0,104422.75,2,548.0,2,35000.0,100.0,1711.0,0
696.0,0,150000.0,100.0,8.86,0,6.0,3,0.0,0,0.0,0,0,25.4,0,91694.4,0,28085.2,0,0.31,0,0.0,0,0.0,0,0.0,0,1.0,0,91694.4,1,696.0,0,150000.0,100.0,549.0,2
606.0,0,150000.0,100.0,9.42,0,79.0,3,0.0,0,0.0,0,0,66.0,0,53789.0,0,3000.0,0,0.06,0,0.0,0,0.0,0,0.0,0,1.0,0,53789.0,2,606.0,0,150000.0,100.0,4615.0,0
625.0,0,150000.0,100.0,2.78,0,23.0,1,0.0,0,0.0,0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,625.0,0,150000.0,100.0,1522.0,1
542.0,2,35000.0,100.0,7.44,0,23.0,1,0.0,0,0.0,0,2,29.333333333333,0,45553.5,0,2737.1666666667,0,0.06,0,0.0,0,0.0,0,0.0,0,1.0,0,45553.5,2,542.0,2,35000.0,100.0,2724.0,1
593.0,1,100000.0,100.0,14.23,0,6.0,1,0.0,0,0.0,0,0,0.0,2,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,593.0,1,100000.0,100.0,8128.0,0
673.0,0,150000.0,100.0,1.84,1,83.0,3,0.0,0,0.0,0,0,2.5,3,250953.0,0,41752.0,0,0.17,0,0.0,0,0.0,0,0.0,0,0.0,0,250953.0,1,673.0,0,150000.0,100.0,6100.0,1
539.0,2,35000.0,100.0,4.46,0,6.0,3,0.0,0,0.0,0,0,47.666666666667,0,30153.0,0,3377.3333333333,0,0.11,0,0.0,0,0.0,0,0.0,0,0.0,0,30153.0,2,539.0,2,35000.0,100.0,3856.0,0
747.0,0,150000.0,1000.0,17.04,0,18.0,3,0.0,0,0.0,0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,747.0,0,150000.0,1000.0,5366.0,1
625.0,0,150000.0,100.0,2.78,0,23.0,1,0.0,0,0.0,0,2,21.0,0,56987.8,0,2511.8,0,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,56987.8,2,625.0,0,150000.0,100.0,1522.0,1
650.0,0,150000.0,100.0,10.25,0,27.0,3,0.0,0,0.0,0,0,81.2,0,68463.6,0,2969.4,0,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,68463.6,2,650.0,0,150000.0,100.0,5871.0,1
643.0,0,150000.0,50.0,11.2,0,7.0,3,0.0,0,0.0,0,0,35.333333333333,0,42483.023333333,0,6065.7033333333,0,0.14,0,0.0,0,0.0,0,0.0,0,1.0,0,42483.023333333,2,612.0,0,150000.0,100.0,5301.0,2
688.0,0,150000.0,100.0,11.94,0,56.0,3,0.0,0,0.0,0,0,83.666666666667,0,184539.93,0,27124.04,0,0.15,0,0.0,0,0.0,0,0.0,0,4.0,2,184539.93,2,688.0,0,150000.0,100.0,3521.0,0
534.0,2,35000.0,50.0,2.82,0,3.0,3,0.0,0,0.0,0,0,4.6666666666667,3,10621.666666667,1,680.33333333333,1,0.06,0,0.0,0,0.0,0,0.0,0,1.0,0,10621.666666667,2,534.0,2,35000.0,50.0,1700.0,0
643.0,0,150000.0,50.0,11.2,0,7.0,3,0.0,0,0.0,0,0,35.333333333333,0,42483.023333333,0,6065.7033333333,0,0.14,0,0.0,0,0.0,0,0.0,0,1.0,0,42483.023333333,2,612.0,0,150000.0,100.0,5301.0,2
9002.0,4,116921.12676056338,100.0,0.93,2,6.0,3,0.0,0,0.0,0,0,30.0,0,23013.333333333,0,3949.0,0,0.17,0,0.0,0,0.0,0,0.0,0,0.0,0,23013.333333333,2,9002.0,4,116245.62427071178,100.0,3435.0,2
537.0,2,35000.0,100.0,10.02,0,17.0,3,0.0,0,0.0,0,0,32.6,0,108504.4,0,12460.4,0,0.11,0,0.0,0,0.0,0,0.0,0,2.0,1,108504.4,3,537.0,2,35000.0,100.0,4122.0,0
713.0,0,150000.0,100.0,21.56,0,80.0,3,0.0,0,0.0,0,0,10.5,3,164320.45,0,48517.7075,0,0.3,0,0.0,0,0.0,0,0.0,0,1.0,0,164320.45,2,713.0,0,150000.0,100.0,5603.0,2
625.0,0,150000.0,80.0,8.06,0,69.0,3,0.0,0,0.0,0,1,74.857142857143,0,47251.285714286,0,2859.8571428571,0,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,47251.285714286,2,620.0,0,150000.0,100.0,5892.0,2
624.0,0,150000.0,100.0,6.76,0,80.0,3,0.0,0,0.0,0,0,47.75,0,36983.5,0,3852.5,0,0.1,0,0.0,0,0.0,0,0.0,0,1.0,0,36983.5,2,624.0,0,150000.0,100.0,2059.0,1
684.0,0,150000.0,100.0,5.53,0,5.0,1,0.0,0,0.0,0,0,82.333333333333,0,115959.0,0,5333.3333333333,0,0.05,0,0.0,0,0.0,0,0.0,0,1.0,0,115959.0,2,684.0,0,150000.0,100.0,6035.0,3
574.0,1,100000.0,100.0,14.98,0,80.0,1,0.0,0,0.0,0,0,22.5,0,57474.25,0,6064.25,0,0.11,0,0.0,0,0.0,0,0.0,0,1.0,0,57474.25,2,574.0,1,100000.0,100.0,4803.0,0
